code,skills,skill_type
6114,Mechanical And Repairing Skills,specific_skills
6115,Problem Solving,basic_skills
6115,Management,basic_skills
6115,Sales,basic_skills
6115,Farm Machinery,specific_skills
6115,Mechanical And Repairing Skills,specific_skills
6121,Problem Solving,basic_skills
6121,Management,basic_skills
6121,Basic Livestock,basic_skills
6121,Sales,basic_skills
6121,Farm Machinery,specific_skills
6121,Mechanical And Repairing Skills,specific_skills
6122,Problem Solving,basic_skills
6122,Management,basic_skills
6122,Basic Livestock,basic_skills
6122,Sales,basic_skills
6122,Farm Machinery,specific_skills
6122,Mechanical And Repairing Skills,specific_skills
6123,Problem Solving,basic_skills
6123,Basic Livestock,basic_skills
6123,Farm Machinery,specific_skills
6123,Mechanical And Repairing Skills,specific_skills
6129,Problem Solving,basic_skills
6129,Basic Livestock,basic_skills
6129,Farm Machinery,specific_skills
6129,Mechanical And Repairing Skills,specific_skills
6131,Problem Solving,basic_skills
6131,Basic Livestock,basic_skills
6131,Farm Machinery,specific_skills
6131,Mechanical And Repairing Skills,specific_skills
6211,Problem Solving,basic_skills
6211,Basic Livestock,basic_skills
6211,Farm Machinery,specific_skills
6211,Mechanical And Repairing Skills,specific_skills
6211,Testing Skills,specific_skills
6221,Problem Solving,basic_skills
6221,Basic Livestock,basic_skills
6221,Farm Machinery,specific_skills
6221,Mechanical And Repairing Skills,specific_skills
6222,Problem Solving,basic_skills
6222,Sales,basic_skills
6222,Farm Machinery,specific_skills
6222,Mechanical And Repairing Skills,specific_skills
6223,Problem Solving,basic_skills
6223,Sales,basic_skills
6223,Farm Machinery,specific_skills
6223,Mechanical And Repairing Skills,specific_skills
6224,Problem Solving,basic_skills
6224,Sales,basic_skills
6224,Farm Machinery,specific_skills
6224,Mechanical And Repairing Skills,specific_skills
6311,Problem Solving,basic_skills
6311,Sales,basic_skills
6311,Farm Machinery,specific_skills
6311,Mechanical And Repairing Skills,specific_skills
6321,Problem Solving,basic_skills
6321,Sales,basic_skills
6321,Farm Machinery,specific_skills
6321,Mechanical And Repairing Skills,specific_skills
6331,Problem Solving,basic_skills
6331,Sales,basic_skills
6331,Farm Machinery,specific_skills
6331,Mechanical And Repairing Skills,specific_skills
7111,Handling And Moving Objects,basic_skills
7111,Communication,basic_skills
7111,Carpentry,specific_skills
7111,Electrical Wiring,specific_skills
7111,Plumbing,specific_skills
7112,Handling And Moving Objects,basic_skills
7112,Communication,basic_skills
7112,Carpentry,specific_skills
7112,Electrical Wiring,specific_skills
7112,Plumbing,specific_skills
7113,Handling And Moving Objects,basic_skills
7113,Coordination,basic_skills
7113,Teamwork,basic_skills
7113,Carpentry,specific_skills
7113,Work Safety,specific_skills
7113,Construction,specific_skills
7113,Sculpting,specific_skills
7113,Testing Skills,specific_skills
7114,Handling And Moving Objects,basic_skills
7114,Carpentry,specific_skills
7114,Work Safety,specific_skills
7114,Construction,specific_skills
7114,Coordination,basic_skills
7114,Monitoring,basic_skills
7114,Time Management,basic_skills
7115,Handling And Moving Objects,basic_skills
7115,Carpentry,specific_skills
7115,Woodworking,specific_skills
7115,Sculpting,specific_skills
7119,Handling And Moving Objects,basic_skills
7119,Carpentry,specific_skills
