from,to,weight
3119,3622,1
3119,6113,1
3119,7211,1
3119,7232,1
3121,1623,1
3122,1111,1
3122,1112,1
3122,1113,1
3122,1121,1
3122,1214,2
3122,1223,1
3122,1311,3
3122,1312,1
3122,1321,1
3122,1324,3
3122,1411,1
3122,1412,1
3122,1623,1
3122,2182,1
3122,2262,1
3122,2263,1
3122,2265,1
3122,2311,1
3122,2422,1
3122,2434,1
3122,2611,1
3122,2619,1
3122,2711,1
3122,2712,1
3122,2811,1
3122,2911,1
3122,3112,1
3122,3116,1
3122,3121,2
3122,3135,1
3122,3141,1
3122,3142,2
3122,3143,1
3122,3144,1
3122,3213,1
3122,3622,1
3122,3633,1
3122,3634,1
3122,3641,1
3122,4229,1
3122,4411,1
3122,5413,2
3122,5415,1
3123,1111,1
3123,1112,1
3123,1113,1
3123,1121,1
3123,2611,1
3123,3135,1
3123,3641,1
3123,5413,1
3129,1111,1
3129,1112,1
3129,1113,1
3129,1121,1
3129,1214,1
3129,1311,1
3129,1312,1
3129,1411,1
3129,1623,1
3129,2311,1
3129,2421,1
3129,2422,1
3129,2425,1
3129,2434,1
3129,2611,1
3129,2619,1
3129,2711,1
3129,2712,1
3129,2911,1
3129,3112,1
3129,3116,1
3129,3119,1
3129,3121,2
3129,3122,3
3129,3123,3
3129,3135,1
3129,3141,1
3129,3142,1
3129,3143,1
3129,3144,1
3129,3622,1
3129,3633,1
3129,3634,1
3129,3641,1
3129,5413,1
3129,5415,1
3131,2173,1
3131,3135,3
3131,3151,1
3131,3152,1
3131,3153,1
3131,3154,1
3131,5153,1
3131,7213,1
3131,7239,1
3131,7421,3
3131,7422,3
3131,8111,2
3131,8112,2
3131,8113,2
3131,8114,1
3131,8122,1
3131,8131,1
3131,8211,1
3132,1111,1
3132,2173,1
3132,3135,5
3132,7127,2
3132,8111,2
3132,8112,2
3132,8113,2
3132,8114,1
3132,8121,1
3132,8122,1
3132,8131,1
3132,8154,1
3132,8211,1
3132,8212,1
3132,8344,1
3133,1111,1
3133,1112,1
3133,2173,1
3133,2251,1
3133,2611,1
3133,3135,6
3133,8112,2
3133,8113,2
3133,8122,1
3134,1111,1
3134,1112,1
3134,2173,1
3134,2251,1
3134,2611,1
3134,3132,5
3134,3135,6
3134,7127,2
3134,8111,2
3134,8112,2
3134,8113,2
3134,8114,1
3134,8121,1
3134,8122,1
3134,8131,1
3134,8132,1
3134,8141,1
3134,8151,1
3134,8152,1
3134,8154,1
3134,8156,1
3134,8171,1
3134,8182,2
3134,8189,1
3134,8211,1
3134,8212,1
3134,8221,1
3134,8344,1
3135,1111,1
3135,2173,1
3141,1111,1
3141,1112,1
3141,1211,1
3141,1223,2
3141,1322,1
3141,1511,1
3141,1623,1
3141,2111,2
3141,2114,2
3141,2131,2
3141,2134,2
3141,2149,1
3141,2152,1
3141,2165,1
3141,2173,1
3141,2251,1
3141,2269,1
3141,2399,1
3141,2611,1
3141,3111,2
3141,3142,6
3141,3143,5
3141,3144,5
3141,3241,1
3142,1111,1
3142,1112,1
3142,1223,2
3142,2134,2
3142,2173,1
3142,2251,1
3142,2611,1
3143,1111,1
3143,1112,1
3143,1223,1
3143,2111,1
3143,2134,1
3143,2152,2
3143,2173,1
3143,2251,1
3143,2611,1
3143,3152,1
3143,3256,1
3144,1111,1
3144,1112,1
3144,1223,1
3144,1312,1
3144,2111,2
3144,2114,2
3144,2134,2
3144,2152,2
3144,2173,1
3144,2251,1
3144,2611,1
3144,3142,6
3144,3143,6
3144,3151,1
3144,3152,1
3144,3256,1
3153,3151,3
3153,3154,3
3153,7232,1
3159,1323,1
3159,2152,1
3159,2161,1
3159,2162,1
3211,2212,1
3212,2212,1
3212,3211,3
3222,3221,2
3222,3256,1
3231,1111,1
3231,1112,1
3231,1223,1
3231,2111,1
3231,2114,1
3231,2131,1
3231,2149,1
3231,2152,1
3231,2165,1
3231,2173,1
3231,2251,1
3231,2269,1
3231,2399,1
3231,2611,1
3231,3142,1
3231,3143,1
3231,3144,1
3241,3151,1
3251,3221,1
3251,3256,1
3252,2134,1
3252,2265,1
3252,3141,1
3252,3142,1
3252,3143,1
3252,3144,1
3252,3259,1
3252,4121,1
3252,4211,1
3252,4323,1
3252,5312,1
3254,2211,1
3254,2212,1
3254,2261,1
3254,2264,1
3254,2267,1
3254,2824,1
3254,3221,1
3254,3256,1
3255,3151,1
3256,2211,1
3256,2212,2
3256,2251,1
3256,2261,1
3256,2264,2
3256,2267,1
3256,3152,1
3256,3221,2
3257,2825,1
3257,2826,1
3258,2212,1
3258,5321,1
3258,5411,1
3258,5412,1
3259,2212,1
3311,1111,1
3311,1112,1
3311,1211,2
3311,1221,2
3311,1223,1
3311,1421,1
3311,1622,1
3311,2111,1
3311,2114,1
3311,2131,1
3311,2132,1
3311,2133,1
3311,2143,1
3311,2145,1
3311,2151,1
3311,2152,1
3311,2153,1
3311,2165,1
3311,2173,1
3311,2251,1
3311,2262,1
3311,2269,1
3311,2311,1
3311,2399,1
3311,2422,1
3311,2426,1
3311,2434,1
3311,2519,1
3311,2521,1
3311,2523,1
3311,2611,1
3311,2619,1
3311,2822,1
3311,2849,1
3311,3712,1
3313,1111,1
3313,1112,1
3313,1121,1
3313,1211,1
3313,1221,1
3313,1223,1
3313,2111,1
3313,2114,1
3313,2131,1
3313,2132,1
3313,2133,1
3313,2143,1
3313,2145,1
3313,2149,1
3313,2151,1
3313,2152,1
3313,2153,1
3313,2165,1
3313,2173,1
3313,2251,1
3313,2262,1
3313,2269,1
3313,2311,1
3313,2399,1
3313,2422,1
3313,2426,1
3313,2434,1
3313,2519,1
3313,2521,1
3313,2523,1
3313,2611,1
3313,2619,1
3313,2822,1
3313,2849,1
3313,3142,1
3313,3143,1
3313,3144,1
3313,3231,1
3313,3315,1
3313,3712,2
3313,3714,2
3314,1111,1
3314,1112,1
3314,1221,1
3314,1223,1
3314,1511,1
3314,2111,1
3314,2114,1
3314,2131,2
3314,2132,1
3314,2133,1
3314,2143,1
3314,2145,1
3314,2149,1
3314,2151,1
3314,2152,1
3314,2153,1
3314,2165,1
3314,2173,1
3314,2251,1
3314,2262,2
3314,2269,1
3314,2311,1
3314,2399,1
3314,2421,1
3314,2422,1
3314,2426,1
3314,2434,1
3314,2519,1
3314,2521,1
3314,2523,1
3314,2611,1
3314,2619,1
3314,2822,1
3314,2832,1
3314,2849,1
3314,3142,1
3314,3143,1
3314,3311,1
3314,3712,1
3315,1111,1
3315,1112,1
3315,1223,1
3315,2111,1
3315,2114,1
3315,2131,1
3315,2133,1
3315,2149,1
3315,2151,1
3315,2152,1
3315,2165,1
3315,2173,1
3315,2251,1
3315,2269,1
3315,2311,1
3315,2399,1
3315,2611,1
3315,2849,1
3315,3142,1
3315,3143,1
3321,1221,1
3321,1222,1
3321,1421,1
3321,2211,1
3321,2212,1
3321,2431,1
3322,1221,1
3322,1222,1
3322,1421,1
3322,2431,1
3322,3321,1
3323,1323,1
3323,1324,1
3323,1412,1
3323,1421,1
3323,2161,1
3323,2162,1
3323,2182,1
3323,2183,1
3323,2425,1
3323,2432,1
3323,2912,1
3323,3712,1
3323,3713,1
3323,3714,1
3332,1111,1
3332,1112,1
3332,1113,1
3332,1121,1
3332,1214,1
3332,1311,1
3332,1312,1
3332,1411,1
3332,2311,1
3332,2421,1
3332,2422,1
3332,2425,1
3332,2434,1
3332,2611,1
3332,2619,1
3332,2711,1
3332,2712,1
3332,2911,1
